"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"69","Oregon State","San José State",-88,-38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5,-950,55,1,25
"70","San José State","Oregon State",88,38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,600,55,1,-25
"71","USC","San José State",-94,-38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,-10000,63.5,1,28
"72","San José State","USC",94,38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1600,63.5,1,-28
"73","Stanford","Hawai'i",-9,-38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-285,58.5,1,13
"74","Hawai'i","Stanford",9,38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,235,58.5,1,-13
"75","Indiana","Ohio State",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1600,59.5,1,-20
"76","Ohio State","Indiana",-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,-10000,59.5,1,20
"77","Northwestern","Rutgers",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,220,40.5,1,-17
"78","Rutgers","Northwestern",-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-270,40.5,1,17
"79","Nebraska","Minnesota",-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,250,47,1,-3
"80","Minnesota","Nebraska",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-300,47,1,3
"81","New Mexico State","UMass",-29,4.40852130325811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.5,-310,44.5,1,-11
"82","UMass","New Mexico State",29,-4.40852130325811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,255,44.5,1,11
"83","UAB","North Carolina A&T",106,92.5762711864407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.5,-2200,50.5,1,29
"84","North Carolina A&T","UAB",-106,-92.5762711864407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,1000,50.5,1,-29
"85","Cincinnati","Eastern Kentucky",70,46.8805970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.5,-2500,55.5,1,53
"86","Eastern Kentucky","Cincinnati",-70,-46.8805970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,1000,55.5,1,-53
"87","Western Kentucky","South Florida",-20,5.2132024977698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.5,-480,70,1,17
"88","South Florida","Western Kentucky",20,-5.2132024977698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,350,70,1,-17
"89","Louisiana Tech","SMU",62,5.2132024977698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,625,65.5,1,-24
"90","SMU","Louisiana Tech",-62,-5.2132024977698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-1000,65.5,1,24
"91","South Alabama","Tulane",36,-10.6085292509568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,210,55,1,-20
"92","Tulane","South Alabama",-36,10.6085292509568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-250,55,1,20
"93","Maine","Florida International",-105,-97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,310,49.5,1,-2
"94","Florida International","Maine",105,97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-415,49.5,1,2
"95","Louisiana Tech","Florida International",2,0,1,15,-36,-2.4,-25,-2,0.136,1,15,-36,-2.4,-25,-2,0.136363636363636,-9.5,-450,59,1,5
"96","Florida International","Louisiana Tech",-2,0,-1,-15,36,2.4,25,2,-0.136,-1,-15,36,2.4,25,2,-0.136363636363636,9.5,335,59,1,-5
"97","Incarnate Word","UTEP",-127,-97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,230,57.5,1,-14
"98","UTEP","Incarnate Word",127,97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-280,57.5,1,14
"99","Jacksonville State","UTEP",-127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-105,52.5,1,3
"100","UTEP","Jacksonville State",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-115,52.5,1,-3
"101","North Texas","California",49,52.8070404172099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,240,56,1,-37
"102","California","North Texas",-49,-52.8070404172099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-290,56,1,37
"103","Coastal Carolina","UCLA",72,42.1985111662531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,500,65,1,-14
"104","UCLA","Coastal Carolina",-72,-42.1985111662531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.5,-750,65,1,14
"105","Rhode Island","Georgia State",-67,-81.9677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,700,55.5,1,-7
