"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","pointsDiff"
"804","Central Michigan","Northern Illinois",-2,0,-0.714,-96.572,-39.715,-0.885000000000001,16.714,1.143,-0.027,0,-165,-71,0.7,-6,4,0.2,4,175,55.5,13
"805","Miami","Florida State",29,0,-1.238,-85.071,-73.238,-1.971,-17.238,1.047,-0.026,-2,-99,-370,-6.3,-82,-2,-0.146634615384615,8.5,190,53,-42
"806","Florida State","Miami",-29,0,1.238,85.071,73.238,1.971,17.238,-1.047,0.026,2,99,370,6.3,82,2,0.146634615384615,-8.5,-230,53,42
"807","Duke","Boston College",-36,0,2.285,140.143,129,0.5,10.143,-1.572,0.036,4,124,1,-1.4,25,-3,-0.032631578947368,-9.5,-450,48.5,7
"808","Boston College","Duke",36,0,-2.285,-140.143,-129,-0.5,-10.143,1.572,-0.036,-4,-124,-1,1.4,-25,3,0.032631578947368,9.5,335,48.5,-7
"809","Wake Forest","NC State",10,0,0.929,23.357,122.024,3.196,-37.5,0.857,0.0710000000000001,1,32,46,0.0999999999999996,-50,8,-0.0137420718816069,-3.5,-175,54,-9
"810","NC State","Wake Forest",-10,0,-0.929,-23.357,-122.024,-3.196,37.5,-0.857,-0.0710000000000001,-1,-32,-46,-0.0999999999999996,50,-8,0.0137420718816069,3.5,150,54,9
"811","Georgia Tech","Virginia Tech",-10,0,-1,15.571,3.85699999999997,-0.528,-1,-0.715,0.0139999999999999,-1,16,-29,-4.6,38,0,0.145161290322581,4,150,41.5,1
"812","Virginia Tech","Georgia Tech",10,0,1,-15.571,-3.85699999999997,0.528,1,0.715,-0.0139999999999999,1,-16,29,4.6,-38,0,-0.145161290322581,-4,-175,41.5,-1
"813","Virginia","North Carolina",69,0,-0.857,-33.571,-148,-3.314,11,1.143,-0.148,-1,33,-147,-0.6,-2,0,-0.178632478632479,9.5,285,59.5,-3
"814","North Carolina","Virginia",-69,0,0.857,33.571,148,3.314,-11,-1.143,0.148,1,-33,147,0.6,2,0,0.178632478632479,-9.5,-370,59.5,3
"815","Air Force","Army",-42,13.5615384615385,0.257,21.514,-35.914,0.166,-12,-0.457,-0.04,-4,-266,-211,0.399999999999999,-37,1,-0.055555555555556,-6,-245,40.5,6
"816","Army","Air Force",42,-13.5615384615385,-0.257,-21.514,35.914,-0.166,12,0.457,0.04,4,266,211,-0.399999999999999,37,-1,0.055555555555556,6,205,40.5,-6
"817","Kansas","Oklahoma State",-1,0,-0.429,34.857,-13,2.114,13.428,0,0.0659999999999999,2,2,71,3.7,-4,-1,0.138047138047138,3.5,150,69,21
"818","Oklahoma State","Kansas",1,0,0.429,-34.857,13,-2.114,-13.428,0,-0.0659999999999999,-2,-2,-71,-3.7,4,1,-0.138047138047138,-3.5,-175,69,-21
"819","Texas","Kansas State",-5,0,-0.429,-28.572,37.143,0.757000000000001,12.571,0.143,0.043,0,5,28,-1.5,59,3,-0.179812465526752,-1.5,-145,54.5,7
"820","Kansas State","Texas",5,0,0.429,28.572,-37.143,-0.757000000000001,-12.571,-0.143,-0.043,0,-5,-28,1.5,-59,-3,0.179812465526752,1.5,125,54.5,-7
"821","Oklahoma","Baylor",-9,0,-0.333,56.933,42.267,-0.96,11.967,-0.267,-0.036,-3,-49,-110,-1.4,-15,0,-0.04074074074074,-3.5,-175,58.5,-3
"822","Baylor","Oklahoma",9,0,0.333,-56.933,-42.267,0.96,-11.967,0.267,0.036,3,49,110,1.4,15,0,0.04074074074074,3.5,150,58.5,3
"823","West Virginia","Iowa State",15,0,1.143,66.858,52.8579999999999,0.114,7,-0.143,-0.032,2,89,56,1.7,29,-1,-0.059379217273954,6.5,210,51,-17
"824","Iowa State","West Virginia",-15,0,-1.143,-66.858,-52.8579999999999,-0.114,-7,0.143,0.032,-2,-89,-56,-1.7,-29,1,0.059379217273954,-6.5,-250,51,17
"825","TCU","Texas Tech",-6,0,0.886,63.771,15.371,2.857,-7.6,-1.429,0.035,1,4,186,8,35,-3,0.25563909774436,-10,-400,71,10
"826","Texas Tech","TCU",6,0,-0.886,-63.771,-15.371,-2.857,7.6,1.429,-0.035,-1,-4,-186,-8,-35,3,-0.25563909774436,10,300,71,-10
"827","Pittsburgh","Syracuse",-24,0,1,37,39.715,0.443,-10.715,0.571,-0.052,2,70,81,1.3,18,-1,0.00716845878136202,-3.5,-175,50.5,10
"828","Syracuse","Pittsburgh",24,0,-1,-37,-39.715,-0.443,10.715,-0.571,0.052,-2,-70,-81,-1.3,-18,1,-0.00716845878136202,3.5,150,50.5,-10
"829","New Mexico","Utah State",23,0,0.229,-31.8,-100.8,-0.680000000000001,-1.514,-1.171,-0.0570000000000001,-2,-26,-79,-1,29,-1,-0.124434389140272,15.5,475,43.5,-17
"830","Utah State","New Mexico",-23,0,-0.229,31.8,100.8,0.680000000000001,1.514,1.171,0.0570000000000001,2,26,79,1,-29,1,0.124434389140272,-15.5,-700,43.5,17
"831","BYU","Boise State",18,-13.5615384615385,-1.143,-57.839,19.232,1.239,5.786,-0.929,0.034,-4,35,-126,-3.7,-5,-1,-0.03,8.5,255,55.5,3
"832","Boise State","BYU",-18,13.5615384615385,1.143,57.839,-19.232,-1.239,-5.786,0.929,-0.034,4,-35,126,3.7,5,1,0.03,-8.5,-310,55.5,-3
"833","San José State","Colorado State",-30,0,1.5,12.334,123.834,1.75,-27.333,-1.333,0.031,3,22,195,1.2,1,0,0.194871794871795,-22,-2200,45,12
"834","Colorado State","San José State",30,0,-1.5,-12.334,-123.834,-1.75,27.333,1.333,-0.031,-3,-22,-195,-1.2,-1,0,-0.194871794871795,22,1000,45,-12
"835","Hawai'i","Fresno State",59,0,-0.428,20,-13.285,-1.757,9.714,-0.286,-0.118,-1,148,-41,-4.3,-45,-2,-0.255555555555556,23,1050,57.5,-42
"836","Fresno State","Hawai'i",-59,0,0.428,-20,13.285,1.757,-9.714,0.286,0.118,1,-148,41,4.3,45,2,0.255555555555556,-23,-2500,57.5,42
"837","UNLV","San Diego State",42,0,1.286,-6,38.285,1.158,-5.429,-0.428,0.162,1,-12,-150,-7,-20,-4,-0.244848484848485,6.5,210,48,-4
"838","San Diego State","UNLV",-42,0,-1.286,6,-38.285,-1.158,5.429,0.428,-0.162,-1,12,150,7,20,4,0.244848484848485,-6.5,-250,48,4
"839","James Madison","Louisville",35,42.8566887417219,-0.542,-8.667,65.875,1.004,-31.75,0.708,-0.00600000000000001,-3,-128,-163,-2.7,-62,4,-0.295238095238096,8.5,230,55,-24
"840","Louisville","James Madison",-35,-42.8566887417219,0.542,8.667,-65.875,-1.004,31.75,-0.708,0.00600000000000001,3,128,163,2.7,62,-4,0.295238095238096,-8.5,-280,55,24
"841","Illinois","Michigan State",-22,0,0.453,117.214,64.453,-0.976,5.5,0.381,0.082,1,151,115,0.899999999999999,-3,0,0.342424242424242,-15.5,-800,43.5,-8
"842","Michigan State","Illinois",22,0,-0.453,-117.214,-64.453,0.976,-5.5,-0.381,-0.082,-1,-151,-115,-0.899999999999999,3,0,-0.342424242424242,15.5,525,43.5,8
"843","Wisconsin","Maryland",-14,0,-1.286,-19.786,-84.524,-0.170999999999999,-4.143,0.667,-0.0900000000000001,-1,-79,-42,3.8,2,1,-0.0238095238095241,-5.5,-210,53,13
"844","Maryland","Wisconsin",14,0,1.286,19.786,84.524,0.170999999999999,4.143,-0.667,0.0900000000000001,1,79,42,-3.8,-2,-1,0.0238095238095241,5.5,175,53,-13
"845","Michigan","Rutgers",-74,0,1.167,126.467,174.5,2.06,-19.133,-0.867,0.195,1,228,309,2.8,-28,-2,0.201923076923077,-26.5,-4500,46,35
"846","Rutgers","Michigan",74,0,-1.167,-126.467,-174.5,-2.06,19.133,0.867,-0.195,-1,-228,-309,-2.8,28,2,-0.201923076923077,26.5,1250,46,-35
"847","Indiana","Penn State",79,0,-1.143,-112.286,-98.161,-2.121,3.339,0.339,-0.0649999999999999,0,-49,-210,-2.8,19,-3,-0.119875454073689,13.5,375,54.5,-31
"848","Penn State","Indiana",-79,0,1.143,112.286,98.161,2.121,-3.339,-0.339,0.0649999999999999,0,49,210,2.8,-19,3,0.119875454073689,-13.5,-525,54.5,31
"849","Nebraska","Minnesota",12,0,-0.31,-68.404,29.3099999999999,1.45,13.357,0.643,0.038,-4,-193,-127,2,-15,4,-0.208333333333334,12.5,475,47,-7
"850","Minnesota","Nebraska",-12,0,0.31,68.404,-29.3099999999999,-1.45,-13.357,-0.643,-0.038,4,193,127,-2,15,-4,0.208333333333334,-12.5,-700,47,7
"851","Purdue","Iowa",26,0,0.404,14.81,156.214,0.293,25.738,1.333,0.0790000000000001,0,-67,33,-0.3,27,3,-0.026086956521739,-4,-195,43,-21
"852","Iowa","Purdue",-26,0,-0.404,-14.81,-156.214,-0.293,-25.738,-1.333,-0.0790000000000001,0,67,-33,0.3,-27,-3,0.026086956521739,4,165,43,21
"853","Connecticut","UMass",-33,0,0.2,22,58.8,2.12,-16.8,0.2,0.247,-1,-55,21,5.6,-35,-1,0.043233082706767,-15.5,-750,41,17
"854","UMass","Connecticut",33,0,-0.2,-22,-58.8,-2.12,16.8,-0.2,-0.247,1,55,-21,-5.6,35,1,-0.043233082706767,15.5,500,41,-17
"855","Temple","South Florida",7,0,-1.314,-99.314,-90.771,-1.509,1.971,0.2,-0.0489999999999999,-3,-134,-141,-2.5,20,3,-0.205882352941177,3.5,150,51.5,26
"856","South Florida","Temple",-7,0,1.314,99.314,90.771,1.509,-1.971,-0.2,0.0489999999999999,3,134,141,2.5,-20,-3,0.205882352941177,-3.5,-175,51.5,-26
"857","Tulane","Tulsa",-97,0,0.404,12.81,-14.4040000000001,0.149999999999999,-24.333,-1.453,0.091,1,4,-54,-1.8,-23,-2,0.189655172413793,-8.5,-300,58.5,14
"858","Tulsa","Tulane",97,0,-0.404,-12.81,14.4040000000001,-0.149999999999999,24.333,1.453,-0.091,-1,-4,54,1.8,23,2,-0.189655172413793,8.5,250,58.5,-14
"859","UCF","Memphis",-26,0,0.857,101.982,77.214,-0.0289999999999999,10.268,0.464,0.002,2,155,90,0.100000000000001,15,-2,0.053353658536585,-5,-220,61.5,7
"860","Memphis","UCF",26,0,-0.857,-101.982,-77.214,0.0289999999999999,-10.268,-0.464,-0.002,-2,-155,-90,-0.100000000000001,-15,2,-0.053353658536585,5,180,61.5,-7
"861","Cincinnati","Navy",-39,0,-0.643,-136.143,47.667,0.369,57.976,-0.262,0.231,-2,-189,109,6.5,15,-1,0.543478260869565,-20.5,-1600,48.5,10
"862","Navy","Cincinnati",39,0,0.643,136.143,-47.667,-0.369,-57.976,0.262,-0.231,2,189,-109,-6.5,-15,1,-0.543478260869565,20.5,800,48.5,-10
"863","Houston","SMU",10,0,-0.583,15.708,-37.917,-1.15,34.833,0,0.046,-1,-55,22,-1.2,12,0,0.167582417582417,2.5,135,67.5,-14
"864","SMU","Houston",-10,0,0.583,-15.708,37.917,1.15,-34.833,0,-0.046,1,55,-22,1.2,-12,0,-0.167582417582417,-2.5,-160,67.5,14
"865","Charlotte","Western Kentucky",57,0,-0.179,-42,-68.464,1.643,-15.429,0.143,-0.05,3,93,48,7.3,-39,-2,0.258163265306122,16.5,550,71,-52
"866","Western Kentucky","Charlotte",-57,0,0.179,42,68.464,-1.643,15.429,-0.143,0.05,-3,-93,-48,-7.3,39,2,-0.258163265306122,-16.5,-850,71,52
"867","North Texas","Florida International",-32,0,-0.225,89.425,98.6,1.952,-1.35,0.425,-0.104,0,139,163,4.8,-15,0,0.0874999999999999,-21.5,-2200,63,38
"868","Florida International","North Texas",32,0,0.225,-89.425,-98.6,-1.952,1.35,-0.425,0.104,0,-139,-163,-4.8,15,0,-0.0874999999999999,21.5,1000,63,-38
